title,date,location,price,image_url
Pressure Nights w. DJ Tree,"smbata, 22 martie 2025, 23:00","Strada Tudor Vladimirescu 16, Cluj-Napoca",40 lei,https://livetickets-cdn.azureedge.net/itemimages/pressure-nights-w-dj-tree/Background_MEDIUM.jpg?71684936-07e9-4ebd-8b02-72a833714988
22 Martie - DJ DENY - Crush Jungle,"smbata, 22 martie 2025, 23:00","Craiova, Craiova",40 lei,https://livetickets-cdn.azureedge.net/itemimages/22-martie-dj-deny-crush-jungle/Background_MEDIUM.jpg?bb9e382b-5a77-44a1-85ff-59b71702031c
Retro Manele & Balkanic Party at Euphoria Music Hall,"smbata, 22 martie 2025, 23:00","Euphoria Music Hall, Cluj-Napoca",30 lei,https://livetickets-cdn.azureedge.net/itemimages/retro-manele-balkanic-party-at-euphoria-music-hall-3/Background_MEDIUM.jpg?6600b388-17f0-467a-9686-dc41171dea95
Lele ?i forma?ia // Live la Beraria H,"smbata, 22 martie 2025, 23:15","Beraria H, Bucure?ti",49.9 - 69.9 lei,https://livetickets-cdn.azureedge.net/itemimages/concert-lele-bucuresti-2025/Background_MEDIUM.jpg?76d458fb-7500-49fa-8669-1f7fbf7e720d
DUPAYA - OCLU - 23 MARTIE 2025,"duminica, 23 martie 2025, 01:00","Oclu Pub, Bucure?ti",50 lei,https://livetickets-cdn.azureedge.net/itemimages/dupaya-23-martie-2025/Background_MEDIUM.jpg?183e0810-ad8f-4443-af01-b2c43cf1a50c
Spring Bloom,"duminica, 23 martie 2025, 11:00","Harmony Wellness Studio, Bucure?ti",120 lei,https://livetickets-cdn.azureedge.net/itemimages/spring-bloom/Background_MEDIUM.jpg?2d09c0b4-5545-4fe6-925a-eecf3537d079
Motanul ?i unicornul - 23 martie,"duminica, 23 martie 2025, 11:00","Strada Logofatul Tautu 68A, Bucure?ti",54 lei,https://livetickets-cdn.azureedge.net/itemimages/motanul-si-unicornul-23-martie/Background_MEDIUM.jpg?40ec6d88-a7c2-46e7-881b-73d6ee112fea
Are you sure? by Oliver Bauer,"duminica, 23 martie 2025, 16:00","Casino - Centrul de Cultura Urbana, Cluj-Napoca",175 lei,https://livetickets-cdn.azureedge.net/itemimages/workshop-oliver-bauer/Background_MEDIUM.jpg?dfdddfb5-cef6-4311-b985-d7bb3aa579d6
Breeze Bossanova at Fabrica de Bere,"duminica, 23 martie 2025, 18:00","Fabrica de Bere, Cluj-Napoca",50 - 60 lei,https://livetickets-cdn.azureedge.net/itemimages/breeze-bossanova-at-fabrica-de-bere/Background_MEDIUM.jpg?ec8e5369-5202-4ba5-9584-17134b4e24f4
108 Antique Singing Bowls Orchestra - A Sound Experience (Oradea),"duminica, 23 martie 2025, 19:00","Posticum, Oradea",30 - 60 lei,https://livetickets-cdn.azureedge.net/itemimages/108-antique-singing-bowls-orchestra-a-sound-experience-oradea/Background_MEDIUM.jpg?7361912e-28f7-40d8-93de-5c7b41e6af46
